"Party","Name","Constituency","Voting.1","Voting.2","Voting.3","Voting.4","Voting.5","Voting.6","Voting.7","Voting.8"
"SNP","Drew Hendry
","60","0","1","0","0","1","-1","-1","-1"
"LAB","Stephen Hepburn
","38","-1","-1","-1","-1","-1","-1","-1","-1"
"CON","Nick Herbert
","50","1","-1","-1","1","-1","-1","-1","1"
"OTH","Lady Hermon
","52","-1","1","-1","-1","1","-1","-1","-1"
"LAB","Mike Hill
","30","1","-1","1","0","0","-1","-1","0"
"LAB","Meg Hillier
","77","1","1","1","0","1","-1","-1","-1"
"CON","Simon Hoare
","43","1","-1","-1","1","-1","-1","-1","1"
"OTH","Wera Hobhouse
","68","-1","1","-1","-1","1","-1","-1","-1"
"LAB","Dame Margaret Hodge
","40","1","1","1","0","1","-1","-1","-1"
"LAB","Sharon Hodgson
","38","1","1","1","1","0","-1","-1","-1"
"LAB","Kate Hoey
","78","-1","-1","0","-1","-1","1","1","0"
"LAB","Kate Hollern
","46","1","1","1","1","0","0","0","0"
"CON","George Hollingbery
","48","-1","-1","-1","-1","-1","-1","1","-1"
"CON","Kevin Hollinrake
","44","-1","-1","-1","1","-1","-1","-1","1"
"CON","Philip Hollobone
","39","-1","-1","-1","-1","-1","1","1","-1"
"CON","Adam Holloway
","35","-1","-1","-1","-1","-1","1","1","-1"
"SNP","Stewart Hosie
","62","0","1","0","0","1","-1","-1","-1"
"LAB","George Howarth
","48","1","1","1","1","1","-1","-1","-1"
"CON","John Howell
","57","-1","0","-1","-1","-1","-1","-1","-1"
"CON","Nigel Huddleston
","41","0","-1","-1","0","-1","0","0","0"
"CON","Eddie Hughes
","26","-1","-1","-1","-1","-1","1","1","-1"
"LAB","Rupa Huq
","71","1","1","1","0","1","-1","-1","-1"
"CON","Nick Hurd
","51","0","0","-1","0","-1","-1","-1","0"
"LAB","Imran Hussain
","45","1","1","1","1","0","-1","-1","0"
"CON","Alister Jack
","55","-1","-1","-1","-1","-1","-1","1","-1"
"CON","Margot James
","36","1","0","-1","1","0","-1","-1","0"
"OTH","Christine Jardine
","71","0","1","0","0","1","-1","-1","0"
"LAB","Dan Jarvis
","32","1","-1","1","1","0","-1","-1","0"
"CON","Ranil Jayawardena
","54","-1","-1","-1","-1","-1","1","1","-1"
"CON","Sir Bernard Jenkin
","41","-1","-1","-1","-1","-1","1","1","-1"
"CON","Andrea Jenkyns
","40","-1","-1","-1","-1","-1","1","1","-1"
